target tetha 1,target tetha 2,target tetha 3,target tetha 4,robot tetha 1,robot tetha 2,robot tetha 3,robot tetha 4,target kecepatan tetha1,target kecepatan tetha2,target kecepatan tetha3,target kecepatan tetha4,robot kecepatan tetha 1,robot kecepatan tetha 2,robot kecepatan tetha 3,robot kecepatan tetha 4,target percepatan tetha 1,target percepatan tetha 2,target percepatan tetha 3,target percepatan tetha 4,robot percepatan tetha 1,robot percepatan tetha 2,robot percepatan tetha 3,robot percepatan tetha 4
0.0,0.0,-52.64688491821289,106.81134796142578,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0483,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029,0.0017,0.012,0.0,0.0,0.0
0.0,0.0,-52.638404846191406,106.80663299560547,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0509,-0.0283,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0018,0.0,0.0,0.0,0.0
0.0,0.0,-52.62942123413086,106.80176544189453,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0539,-0.0292,0.2,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0018,0.012,0.0,0.0,0.0
0.0,0.0,-52.6199836730957,106.79679870605469,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0566,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034,0.0019,-0.012,0.0,0.0,0.0
0.0,0.0,-52.61000061035156,106.79167938232422,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0599,-0.0307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036,0.0019,0.0,0.0,0.0,0.0
0.0,0.0,-52.599388122558594,106.78639221191406,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0637,-0.0317,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038,0.002,0.0,0.0,0.0,0.0
0.0,0.0,-52.58830642700195,106.781005859375,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0665,-0.0323,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041,0.002,0.0,0.0,0.0,0.0
0.0,0.0,-52.5765266418457,106.77544403076172,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0707,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042,0.0021,0.0,0.0,0.0,0.0
0.0,0.0,-52.564109802246094,106.76973724365234,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0745,-0.0342,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045,0.0021,0.0,0.0,0.0,0.0
0.0,0.0,-52.55115509033203,106.7639389038086,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0777,-0.0348,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047,0.0022,0.0,0.0,0.0,0.0
0.0,0.0,-52.537418365478516,106.75794982910156,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0824,-0.0359,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049,0.0022,0.0,0.0,0.0,0.0
0.0,0.0,-52.52279281616211,106.75174713134766,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0878,-0.0372,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052,0.0023,0.0,0.0,0.0,0.0
0.0,0.0,-52.50748825073242,106.74542999267578,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0918,-0.0379,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056,0.0024,0.0,0.0,0.0,0.0
0.0,0.0,-52.491371154785156,106.73895263671875,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0967,-0.0389,-0.2,0.0,0.0,0.0,0.0,0.0,-0.0058,0.0024,-0.012,0.0,0.0,0.0
